'品名', '價格'
'好市多costco網路代購 幫寶適一級幫S/M/L/XL', '2973.0'
'日本原裝 幫寶適 一級幫 紙尿褲 紙尿布 S M L XL號 白幫 Pampers 紫幫', '2930.0'
'『zabaking』幫寶適一級幫紙尿褲-日本境內版（頂級版）S號 M號 L號 XL號 平均一片只要6.33元起', '2898.0'
'幫寶適 Pampers 一級幫 M52片x4包/箱', '2385.0'
'106限時限量促銷 COSCO PAMPERS 幫寶適以及幫XL號12公斤+ 152片 日本境內版 _C156696', '2266.0'
'【奇寶寶】幫寶適 Pampers 一級幫 M52/L42(四包/箱) XL33(六包/箱) 限宅配', '2250.0'
'【happybaby1】幫寶適 Pampers 一級幫 M52 (4包一箱) 限宅配', '2250.0'
'單筆運費限購一組 C156694 COSCO PAMPERS 幫寶適以及幫M號6-11公斤248片 日本境內版', '2204.0'
'Pampers 幫寶適 一級幫 S60 x4/箱', '2172.0'
'出清品 C156695 COSCO PAMPERS DIAPER幫寶適以及幫L號9-14公斤208片 日本境內版', '2150.0'
'106限時限量促銷 COSCO PAMPERS 幫寶適以及幫L號9-14公斤208片 日本境內版 _C156695', '2150.0'
'Pampers 幫寶適 超薄乾爽 S74 4包/箱', '2065.0'
'Pampers 幫寶適 超薄乾爽 L50 (4包/箱)', '2060.0'
'【happybaby1】幫寶適 Pampers 一級幫 S60 四包一箱$2050', '2050.0'
'【奇寶寶】幫寶適 Pampers 一級幫 S60  4包/箱$2050 (限宅配)', '2050.0'
'Pampers 幫寶適 一級幫 NB32 8包/箱', '2040.0'
'Costco好市多代購Pampers尿布幫寶適一級幫M號6-11公斤248片日本境內版貨號156694', '1989.0'
'美兒小舖COSTCO好市多代購～Pampers 幫寶適 一級幫紙尿布L號-日本境內版(208片/箱)可代貼彌月紅紙', '1970.0'
'美兒小舖COSTCO好市多代購～Pampers 幫寶適 一級幫紙尿布M號-日本境內版(248片/箱)可代貼彌月紅紙', '1960.0'
'幫寶適 Pampers 超薄乾爽 XL42 片/包 一箱四包 $1950 (限宅配)', '1950.0'
'Pampers幫寶適 超薄乾爽M62片 1箱4包', '1950.0'
'幫寶適 Pampers 超薄乾爽 L50 四包/箱$1950', '1950.0'
'幫寶適 Pampers 超薄乾爽 L50 一箱四包$1950', '1950.0'
'幫寶適 Pampers 超薄乾爽 M62 四包/箱$1950', '1950.0'
'Pampers幫寶適 超薄乾爽S74片 1箱4包', '1950.0'
'Pampers幫寶適 超薄乾爽XL42片 1箱4包', '1950.0'
'Pampers幫寶適 超薄乾爽XXL31片 1箱4包', '1950.0'
'幫寶適 Pampers 超薄乾爽 S74 (4包/箱) $1950', '1950.0'
'幫寶適 Pampers 超薄乾爽 S74 片/包 1箱4包 $1950', '1950.0'
'幫寶適 Pampers 超薄乾爽 M62 片/包 1箱4包 $1950', '1950.0'
'Pampers幫寶適 超薄乾爽L50片 1箱4包', '1950.0'
'【奇寶寶】幫寶適 Pampers 一級幫 NB32 一箱8包 $1930 【限宅配】', '1930.0'
'【happybaby1】幫寶適 Pampers 一級幫 NB32 片/包 1箱8包 $1930', '1930.0'
'Pampers幫寶適 一級幫NB32片 1箱8包', '1930.0'
'幫寶適一級幫L號9-14公斤208片日本境內版#156695#好市多商品代購', '1919.0'
'幫寶適一級幫Ｍ號6~11公斤248片#156694#好市多商品代購', '1909.0'
'Pampers幫寶適 日本境內紫幫寶適紙尿褲黏貼型 黏貼S60片*4=240片(1箱)～免運', '1880.0'
'白幫寶適M號一箱 一包56片', '1876.0'
'幫寶適一級幫XL號12公斤+152片日本境內版#156696#好市多商品代購', '1869.0'
'宅配免運，數量有限/白幫 幫寶適 好市多版本 L/XL/s/nb/m', '1860.0'
'現貨 白金幫寶適特級棉柔L 204片日本製', '1830.0'
'箱購免運 可貨到付款 幫寶適一級幫黏貼型紙尿褲/尿布(M)52片*4包/箱 日本境內原裝紫幫新升級', '1812.0'
'日本境內版 幫寶適 一級幫黏貼版', '1800.0'
'(限宅配)Pampers幫寶適 日本境內紫幫寶適紙尿褲黏貼型 黏貼M48片*4=192片(1箱)', '1799.0'
'Pampers幫寶適 日本境內紫幫寶適紙尿褲黏貼型 黏貼M48片*4=192片(1箱)～免運', '1799.0'
'【限量特價-好市多版本】日本製 Pampers 幫寶適 特級棉柔 白幫  L號 210片 嬰兒紙尿褲', '1799.0'
'Pampers 幫寶適 超薄乾爽 XXL31x4/箱', '1765.0'
'Pampers 幫寶適 超薄乾爽 M62x4/箱', '1765.0'
'Pampers幫寶適 日本境內巧虎版幫寶適紙尿 褲型L58片x3包=174片(箱)', '1699.0'
'Pampers幫寶適 日本境內紫幫寶適紙尿褲黏貼型 黏貼M48片*4=192片(1箱)~免運~', '1699.0'
'好市多costco網路代購 幫寶適一級幫S/M/L/XL', '2973.0'
'日本原裝 幫寶適 一級幫 紙尿褲 紙尿布 S M L XL號 白幫 Pampers 紫幫', '2930.0'
'『zabaking』幫寶適一級幫紙尿褲-日本境內版（頂級版）S號 M號 L號 XL號 平均一片只要6.33元起', '2898.0'
'幫寶適 Pampers 一級幫 M52片x4包/箱', '2385.0'
'106限時限量促銷 COSCO PAMPERS 幫寶適以及幫XL號12公斤+ 152片 日本境內版 _C156696', '2266.0'
'【奇寶寶】幫寶適 Pampers 一級幫 M52/L42(四包/箱) XL33(六包/箱) 限宅配', '2250.0'
'【happybaby1】幫寶適 Pampers 一級幫 M52 (4包一箱) 限宅配', '2250.0'
'單筆運費限購一組 C156694 COSCO PAMPERS 幫寶適以及幫M號6-11公斤248片 日本境內版', '2204.0'
'Pampers 幫寶適 一級幫 S60 x4/箱', '2172.0'
'出清品 C156695 COSCO PAMPERS DIAPER幫寶適以及幫L號9-14公斤208片 日本境內版', '2150.0'
'106限時限量促銷 COSCO PAMPERS 幫寶適以及幫L號9-14公斤208片 日本境內版 _C156695', '2150.0'
'Pampers 幫寶適 超薄乾爽 S74 4包/箱', '2065.0'
'Pampers 幫寶適 超薄乾爽 L50 (4包/箱)', '2060.0'
'【happybaby1】幫寶適 Pampers 一級幫 S60 四包一箱$2050', '2050.0'
'【奇寶寶】幫寶適 Pampers 一級幫 S60  4包/箱$2050 (限宅配)', '2050.0'
'Pampers 幫寶適 一級幫 NB32 8包/箱', '2040.0'
'Costco好市多代購Pampers尿布幫寶適一級幫M號6-11公斤248片日本境內版貨號156694', '1989.0'
'美兒小舖COSTCO好市多代購～Pampers 幫寶適 一級幫紙尿布L號-日本境內版(208片/箱)可代貼彌月紅紙', '1970.0'
'美兒小舖COSTCO好市多代購～Pampers 幫寶適 一級幫紙尿布M號-日本境內版(248片/箱)可代貼彌月紅紙', '1960.0'
'幫寶適 Pampers 超薄乾爽 XL42 片/包 一箱四包 $1950 (限宅配)', '1950.0'
'Pampers幫寶適 超薄乾爽M62片 1箱4包', '1950.0'
'幫寶適 Pampers 超薄乾爽 L50 四包/箱$1950', '1950.0'
'幫寶適 Pampers 超薄乾爽 L50 一箱四包$1950', '1950.0'
'幫寶適 Pampers 超薄乾爽 M62 四包/箱$1950', '1950.0'
'Pampers幫寶適 超薄乾爽S74片 1箱4包', '1950.0'
'Pampers幫寶適 超薄乾爽XL42片 1箱4包', '1950.0'
'Pampers幫寶適 超薄乾爽XXL31片 1箱4包', '1950.0'
'幫寶適 Pampers 超薄乾爽 S74 (4包/箱) $1950', '1950.0'
'幫寶適 Pampers 超薄乾爽 S74 片/包 1箱4包 $1950', '1950.0'
'幫寶適 Pampers 超薄乾爽 M62 片/包 1箱4包 $1950', '1950.0'
'Pampers幫寶適 超薄乾爽L50片 1箱4包', '1950.0'
'【奇寶寶】幫寶適 Pampers 一級幫 NB32 一箱8包 $1930 【限宅配】', '1930.0'
'【happybaby1】幫寶適 Pampers 一級幫 NB32 片/包 1箱8包 $1930', '1930.0'
'Pampers幫寶適 一級幫NB32片 1箱8包', '1930.0'
'幫寶適一級幫L號9-14公斤208片日本境內版#156695#好市多商品代購', '1919.0'
'幫寶適一級幫Ｍ號6~11公斤248片#156694#好市多商品代購', '1909.0'
'Pampers幫寶適 日本境內紫幫寶適紙尿褲黏貼型 黏貼S60片*4=240片(1箱)～免運', '1880.0'
'白幫寶適M號一箱 一包56片', '1876.0'
'幫寶適一級幫XL號12公斤+152片日本境內版#156696#好市多商品代購', '1869.0'
'宅配免運，數量有限/白幫 幫寶適 好市多版本 L/XL/s/nb/m', '1860.0'
'現貨 白金幫寶適特級棉柔L 204片日本製', '1830.0'
'箱購免運 可貨到付款 幫寶適一級幫黏貼型紙尿褲/尿布(M)52片*4包/箱 日本境內原裝紫幫新升級', '1812.0'
'日本境內版 幫寶適 一級幫黏貼版', '1800.0'
'(限宅配)Pampers幫寶適 日本境內紫幫寶適紙尿褲黏貼型 黏貼M48片*4=192片(1箱)', '1799.0'
'Pampers幫寶適 日本境內紫幫寶適紙尿褲黏貼型 黏貼M48片*4=192片(1箱)～免運', '1799.0'
'【限量特價-好市多版本】日本製 Pampers 幫寶適 特級棉柔 白幫  L號 210片 嬰兒紙尿褲', '1799.0'
'Pampers 幫寶適 超薄乾爽 XXL31x4/箱', '1765.0'
'Pampers 幫寶適 超薄乾爽 M62x4/箱', '1765.0'
'Pampers幫寶適 日本境內巧虎版幫寶適紙尿 褲型L58片x3包=174片(箱)', '1699.0'
'Pampers幫寶適 日本境內紫幫寶適紙尿褲黏貼型 黏貼M48片*4=192片(1箱)~免運~', '1699.0'
'好市多costco網路代購 幫寶適一級幫S/M/L/XL', '2973.0'
'日本原裝 幫寶適 一級幫 紙尿褲 紙尿布 S M L XL號 白幫 Pampers 紫幫', '2930.0'
'『zabaking』幫寶適一級幫紙尿褲-日本境內版（頂級版）S號 M號 L號 XL號 平均一片只要6.33元起', '2898.0'
'幫寶適 Pampers 一級幫 M52片x4包/箱', '2385.0'
'106限時限量促銷 COSCO PAMPERS 幫寶適以及幫XL號12公斤+ 152片 日本境內版 _C156696', '2266.0'
'【奇寶寶】幫寶適 Pampers 一級幫 M52/L42(四包/箱) XL33(六包/箱) 限宅配', '2250.0'
'【happybaby1】幫寶適 Pampers 一級幫 M52 (4包一箱) 限宅配', '2250.0'
'單筆運費限購一組 C156694 COSCO PAMPERS 幫寶適以及幫M號6-11公斤248片 日本境內版', '2204.0'
'Pampers 幫寶適 一級幫 S60 x4/箱', '2172.0'
'出清品 C156695 COSCO PAMPERS DIAPER幫寶適以及幫L號9-14公斤208片 日本境內版', '2150.0'
'106限時限量促銷 COSCO PAMPERS 幫寶適以及幫L號9-14公斤208片 日本境內版 _C156695', '2150.0'
'Pampers 幫寶適 超薄乾爽 S74 4包/箱', '2065.0'
'Pampers 幫寶適 超薄乾爽 L50 (4包/箱)', '2060.0'
'【happybaby1】幫寶適 Pampers 一級幫 S60 四包一箱$2050', '2050.0'
'【奇寶寶】幫寶適 Pampers 一級幫 S60  4包/箱$2050 (限宅配)', '2050.0'
'Pampers 幫寶適 一級幫 NB32 8包/箱', '2040.0'
'Costco好市多代購Pampers尿布幫寶適一級幫M號6-11公斤248片日本境內版貨號156694', '1989.0'
'美兒小舖COSTCO好市多代購～Pampers 幫寶適 一級幫紙尿布L號-日本境內版(208片/箱)可代貼彌月紅紙', '1970.0'
'美兒小舖COSTCO好市多代購～Pampers 幫寶適 一級幫紙尿布M號-日本境內版(248片/箱)可代貼彌月紅紙', '1960.0'
'幫寶適 Pampers 超薄乾爽 XL42 片/包 一箱四包 $1950 (限宅配)', '1950.0'
'Pampers幫寶適 超薄乾爽M62片 1箱4包', '1950.0'
'幫寶適 Pampers 超薄乾爽 L50 四包/箱$1950', '1950.0'
'幫寶適 Pampers 超薄乾爽 L50 一箱四包$1950', '1950.0'
'幫寶適 Pampers 超薄乾爽 M62 四包/箱$1950', '1950.0'
'Pampers幫寶適 超薄乾爽S74片 1箱4包', '1950.0'
'Pampers幫寶適 超薄乾爽XL42片 1箱4包', '1950.0'
'Pampers幫寶適 超薄乾爽XXL31片 1箱4包', '1950.0'
'幫寶適 Pampers 超薄乾爽 S74 (4包/箱) $1950', '1950.0'
'幫寶適 Pampers 超薄乾爽 S74 片/包 1箱4包 $1950', '1950.0'
'幫寶適 Pampers 超薄乾爽 M62 片/包 1箱4包 $1950', '1950.0'
'Pampers幫寶適 超薄乾爽L50片 1箱4包', '1950.0'
'【奇寶寶】幫寶適 Pampers 一級幫 NB32 一箱8包 $1930 【限宅配】', '1930.0'
'【happybaby1】幫寶適 Pampers 一級幫 NB32 片/包 1箱8包 $1930', '1930.0'
'Pampers幫寶適 一級幫NB32片 1箱8包', '1930.0'
'幫寶適一級幫L號9-14公斤208片日本境內版#156695#好市多商品代購', '1919.0'
'幫寶適一級幫Ｍ號6~11公斤248片#156694#好市多商品代購', '1909.0'
'Pampers幫寶適 日本境內紫幫寶適紙尿褲黏貼型 黏貼S60片*4=240片(1箱)～免運', '1880.0'
'白幫寶適M號一箱 一包56片', '1876.0'
'幫寶適一級幫XL號12公斤+152片日本境內版#156696#好市多商品代購', '1869.0'
'宅配免運，數量有限/白幫 幫寶適 好市多版本 L/XL/s/nb/m', '1860.0'
'現貨 白金幫寶適特級棉柔L 204片日本製', '1830.0'
'箱購免運 可貨到付款 幫寶適一級幫黏貼型紙尿褲/尿布(M)52片*4包/箱 日本境內原裝紫幫新升級', '1812.0'
'日本境內版 幫寶適 一級幫黏貼版', '1800.0'
'(限宅配)Pampers幫寶適 日本境內紫幫寶適紙尿褲黏貼型 黏貼M48片*4=192片(1箱)', '1799.0'
'Pampers幫寶適 日本境內紫幫寶適紙尿褲黏貼型 黏貼M48片*4=192片(1箱)～免運', '1799.0'
'【限量特價-好市多版本】日本製 Pampers 幫寶適 特級棉柔 白幫  L號 210片 嬰兒紙尿褲', '1799.0'
'Pampers 幫寶適 超薄乾爽 XXL31x4/箱', '1765.0'
'Pampers 幫寶適 超薄乾爽 M62x4/箱', '1765.0'
'Pampers幫寶適 日本境內巧虎版幫寶適紙尿 褲型L58片x3包=174片(箱)', '1699.0'
'Pampers幫寶適 日本境內紫幫寶適紙尿褲黏貼型 黏貼M48片*4=192片(1箱)~免運~', '1699.0'
'好市多costco網路代購 幫寶適一級幫S/M/L/XL', '2973.0'
'日本原裝 幫寶適 一級幫 紙尿褲 紙尿布 S M L XL號 白幫 Pampers 紫幫', '2930.0'
'『zabaking』幫寶適一級幫紙尿褲-日本境內版（頂級版）S號 M號 L號 XL號 平均一片只要6.33元起', '2898.0'
'幫寶適 Pampers 一級幫 M52片x4包/箱', '2385.0'
'106限時限量促銷 COSCO PAMPERS 幫寶適以及幫XL號12公斤+ 152片 日本境內版 _C156696', '2266.0'
'【奇寶寶】幫寶適 Pampers 一級幫 M52/L42(四包/箱) XL33(六包/箱) 限宅配', '2250.0'
'【happybaby1】幫寶適 Pampers 一級幫 M52 (4包一箱) 限宅配', '2250.0'
'單筆運費限購一組 C156694 COSCO PAMPERS 幫寶適以及幫M號6-11公斤248片 日本境內版', '2204.0'
'Pampers 幫寶適 一級幫 S60 x4/箱', '2172.0'
'出清品 C156695 COSCO PAMPERS DIAPER幫寶適以及幫L號9-14公斤208片 日本境內版', '2150.0'
'106限時限量促銷 COSCO PAMPERS 幫寶適以及幫L號9-14公斤208片 日本境內版 _C156695', '2150.0'
'Pampers 幫寶適 超薄乾爽 S74 4包/箱', '2065.0'
'Pampers 幫寶適 超薄乾爽 L50 (4包/箱)', '2060.0'
'【happybaby1】幫寶適 Pampers 一級幫 S60 四包一箱$2050', '2050.0'
'【奇寶寶】幫寶適 Pampers 一級幫 S60  4包/箱$2050 (限宅配)', '2050.0'
'Pampers 幫寶適 一級幫 NB32 8包/箱', '2040.0'
'Costco好市多代購Pampers尿布幫寶適一級幫M號6-11公斤248片日本境內版貨號156694', '1989.0'
'美兒小舖COSTCO好市多代購～Pampers 幫寶適 一級幫紙尿布L號-日本境內版(208片/箱)可代貼彌月紅紙', '1970.0'
'美兒小舖COSTCO好市多代購～Pampers 幫寶適 一級幫紙尿布M號-日本境內版(248片/箱)可代貼彌月紅紙', '1960.0'
'幫寶適 Pampers 超薄乾爽 XL42 片/包 一箱四包 $1950 (限宅配)', '1950.0'
'Pampers幫寶適 超薄乾爽M62片 1箱4包', '1950.0'
'幫寶適 Pampers 超薄乾爽 L50 四包/箱$1950', '1950.0'
'幫寶適 Pampers 超薄乾爽 L50 一箱四包$1950', '1950.0'
'幫寶適 Pampers 超薄乾爽 M62 四包/箱$1950', '1950.0'
'Pampers幫寶適 超薄乾爽S74片 1箱4包', '1950.0'
'Pampers幫寶適 超薄乾爽XL42片 1箱4包', '1950.0'
'Pampers幫寶適 超薄乾爽XXL31片 1箱4包', '1950.0'
'幫寶適 Pampers 超薄乾爽 S74 (4包/箱) $1950', '1950.0'
'幫寶適 Pampers 超薄乾爽 S74 片/包 1箱4包 $1950', '1950.0'
'幫寶適 Pampers 超薄乾爽 M62 片/包 1箱4包 $1950', '1950.0'
'Pampers幫寶適 超薄乾爽L50片 1箱4包', '1950.0'
'【奇寶寶】幫寶適 Pampers 一級幫 NB32 一箱8包 $1930 【限宅配】', '1930.0'
'【happybaby1】幫寶適 Pampers 一級幫 NB32 片/包 1箱8包 $1930', '1930.0'
'Pampers幫寶適 一級幫NB32片 1箱8包', '1930.0'
'幫寶適一級幫L號9-14公斤208片日本境內版#156695#好市多商品代購', '1919.0'
'幫寶適一級幫Ｍ號6~11公斤248片#156694#好市多商品代購', '1909.0'
'Pampers幫寶適 日本境內紫幫寶適紙尿褲黏貼型 黏貼S60片*4=240片(1箱)～免運', '1880.0'
'白幫寶適M號一箱 一包56片', '1876.0'
'幫寶適一級幫XL號12公斤+152片日本境內版#156696#好市多商品代購', '1869.0'
'宅配免運，數量有限/白幫 幫寶適 好市多版本 L/XL/s/nb/m', '1860.0'
'現貨 白金幫寶適特級棉柔L 204片日本製', '1830.0'
'箱購免運 可貨到付款 幫寶適一級幫黏貼型紙尿褲/尿布(M)52片*4包/箱 日本境內原裝紫幫新升級', '1812.0'
'日本境內版 幫寶適 一級幫黏貼版', '1800.0'
'(限宅配)Pampers幫寶適 日本境內紫幫寶適紙尿褲黏貼型 黏貼M48片*4=192片(1箱)', '1799.0'
'Pampers幫寶適 日本境內紫幫寶適紙尿褲黏貼型 黏貼M48片*4=192片(1箱)～免運', '1799.0'
'【限量特價-好市多版本】日本製 Pampers 幫寶適 特級棉柔 白幫  L號 210片 嬰兒紙尿褲', '1799.0'
'Pampers 幫寶適 超薄乾爽 XXL31x4/箱', '1765.0'
'Pampers 幫寶適 超薄乾爽 M62x4/箱', '1765.0'
'Pampers幫寶適 日本境內巧虎版幫寶適紙尿 褲型L58片x3包=174片(箱)', '1699.0'
'Pampers幫寶適 日本境內紫幫寶適紙尿褲黏貼型 黏貼M48片*4=192片(1箱)~免運~', '1699.0'
'好市多costco網路代購 幫寶適一級幫S/M/L/XL', '2973.0'
'日本原裝 幫寶適 一級幫 紙尿褲 紙尿布 S M L XL號 白幫 Pampers 紫幫', '2930.0'
'『zabaking』幫寶適一級幫紙尿褲-日本境內版（頂級版）S號 M號 L號 XL號 平均一片只要6.33元起', '2898.0'
'幫寶適 Pampers 一級幫 M52片x4包/箱', '2385.0'
'106限時限量促銷 COSCO PAMPERS 幫寶適以及幫XL號12公斤+ 152片 日本境內版 _C156696', '2266.0'
'【奇寶寶】幫寶適 Pampers 一級幫 M52/L42(四包/箱) XL33(六包/箱) 限宅配', '2250.0'
'【happybaby1】幫寶適 Pampers 一級幫 M52 (4包一箱) 限宅配', '2250.0'
'單筆運費限購一組 C156694 COSCO PAMPERS 幫寶適以及幫M號6-11公斤248片 日本境內版', '2204.0'
'Pampers 幫寶適 一級幫 S60 x4/箱', '2172.0'
'出清品 C156695 COSCO PAMPERS DIAPER幫寶適以及幫L號9-14公斤208片 日本境內版', '2150.0'
'106限時限量促銷 COSCO PAMPERS 幫寶適以及幫L號9-14公斤208片 日本境內版 _C156695', '2150.0'
'Pampers 幫寶適 超薄乾爽 S74 4包/箱', '2065.0'
'Pampers 幫寶適 超薄乾爽 L50 (4包/箱)', '2060.0'
'【happybaby1】幫寶適 Pampers 一級幫 S60 四包一箱$2050', '2050.0'
'【奇寶寶】幫寶適 Pampers 一級幫 S60  4包/箱$2050 (限宅配)', '2050.0'
'Pampers 幫寶適 一級幫 NB32 8包/箱', '2040.0'
'Costco好市多代購Pampers尿布幫寶適一級幫M號6-11公斤248片日本境內版貨號156694', '1989.0'
'美兒小舖COSTCO好市多代購～Pampers 幫寶適 一級幫紙尿布L號-日本境內版(208片/箱)可代貼彌月紅紙', '1970.0'
'美兒小舖COSTCO好市多代購～Pampers 幫寶適 一級幫紙尿布M號-日本境內版(248片/箱)可代貼彌月紅紙', '1960.0'
'幫寶適 Pampers 超薄乾爽 XL42 片/包 一箱四包 $1950 (限宅配)', '1950.0'
'Pampers幫寶適 超薄乾爽M62片 1箱4包', '1950.0'
'幫寶適 Pampers 超薄乾爽 L50 四包/箱$1950', '1950.0'
'幫寶適 Pampers 超薄乾爽 L50 一箱四包$1950', '1950.0'
